INCI Name,한글성분명,CAS No.,제조회사,원산지,추출부위(추출물),유도부위 (캘러스),캘러스 원물 원산지,효능,기타
Lecithin,레시틴,,"DAEJUNG CHEMICALS & METALS CO.,LTD.",Plant (South Korea),Soybean,,,,
Leontopodium Alpinum Callus Culture Extract,에델바이스캘러스배양추출물,391900-47-3,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Leontopodium Alpinum Callus Culture Extract,에델바이스캘러스배양추출물,391900-47-3,"BIO-FD&C Co.,Ltd.",Plant,,,,,
Leonurus Sibiricus Flower/Leaf/Stem Extract,익모초추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Aerial Part,,,,
Lilium Candidum Callus Culture Extract,마돈나백합캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Litchi Chinensis Fruit Extract,리치열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Lonicera Japonica (Honeysuckle) Flower Extract,금은화추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Lonicera Japonica (Honeysuckle) Leaf Extract,인동덩굴잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Lycium Barbarum Fruit Extract,영하구기자추출물,,"BIO-FD&C Co.,Ltd.",Plant (China),,,,,
Lycium Chinense Fruit Extract,구기자추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Macadamia Ternifolia Seed Extract,마카다미아씨추출물,,"BIO-FD&C Co.,Ltd.",Plant (Australia),,,,,
Magnesium Sulfate,마그네슘설페이트,,Sigma-Aldrich,Synthetic (South Korea → Japan),,,,,
Magnolia Kobus Phytoplacenta Extract,목련피토플라센타추출물,,"BIO-FD&C Co.,Ltd.",Phytoplacenta (South Korea),,,,,
Magnolia Obovata Bark Extract,일본목련나무껍질추출물 (후박추출물),,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bark,,,,
Magnolia Officinalis Bark Extract,요엽후박나무껍질추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Malus Domestica Fruit Cell Culture Extract,사과세포배양추출물,,"BIO-FD&C Co.,Ltd.",Plant,,,,,
Mangifera Indica (Mango) Fruit Extract,망고추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Melaleuca Alternifolia (Tea Tree) Extract,티트리추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves,,,,
Melaleuca Alternifolia (Tea Tree) Leaf Extract,티트리잎추출물,85085-48-9,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaves,,,,
Melissa Officinalis Leaf Extract,레몬밤잎추출물,84082-61-1,"BIO-FD&C Co.,Ltd.",Plant (France),Leaf (Leaves),,,,
Mentha Piperita (Peppermint) Leaf Extract,페퍼민트잎추출물,84082-70-2,"BIO-FD&C Co.,Ltd.",Plant (U.S.A.),Leaf (Leaves),,,,
Methyl Paraben,,,,Synthetic (South Korea),,,,,
Milk Protein Extract,우유단백질추출물,,"BIO-FD&C Co.,Ltd.",Animal (Netherlands,Bovine Colostrum,셀트리온-한국콜마 제품에 한함,,,
Monarda Didyma Leaf Extract,베르가못잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf (Leaves),,,,
Morinda Citrifolia Fruit Extract,노니열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (Vietanam),,,,,
Moringa Oleifera Seed Extract,드럼스틱씨추출물,93165-54-9(generic),"BIO-FD&C Co.,Ltd.",Plant (India),Seed,,,,
Morus Alba Bark Extract,뽕나무껍질추출물,94167-05-02,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bark,,,,피부컨디셔닝제(기타)
Morus Bombycis Leaf Extract,산뽕나무잎추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Morus Nigra Fruit Extract,검은뽕나무열매추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Musa Sapientum (Banana) Fruit Extract,바나나추출물,89957-82-4,"BIO-FD&C Co.,Ltd.",Plant (Philippines),,,,,
Myrothamnus Flabellifolia,미로탐누스 플라벨리폴리아,,-,(Europe),,,,,
Myrothamnus Flabellifolia Callus Culture Extract,미로탐누스 플라벨리폴리아 캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Myrothamnus Flabellifolia Leaf/Stem Extract (중국용),미로탐누스 플라벨리폴리아잎/줄기추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Nelumbium Speciosum Flower Extract,연꽃추출물,,"BIO-FD&C Co.,Ltd.","Plant (South Korea) 2020년 7월까지는 충북 충주, 이후는 제주",Flower,,,,
Nelumbo Nucifera Callus Culture Extract,연꽃캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),Flower ??,Callus from the leaf,,,
Nelumbo Nucifera Extract,연꽃추출물,85085-51-4 (generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),Flower,,,,
Nelumbo Nucifera Flower Extract,연꽃추출물,85085-51-4 (generic),"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Nelumbo Nucifera Leaf Cell Culture Powder,연꽃잎세포배양가루,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Neofinetia Falcata Callus Culture Extract,풍란캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,Callus from the leaf,,,
Niacin,나이아신,,,Synthetic (South Korea),,,,,
Ocimum Basilicum,바실잎추출물,,"BIO-FD&C Co.,Ltd.",Plant (France),,,,,
Oenothera Biennis (Evening Primrose) Flower Extract,달맞이꽃추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Flower,,,,
Olea Europaea (Olive) Fruit Extract,올리브추출물,,"BIO-FD&C Co.,Ltd.",Plant (Italy),,,,,
Opuntia Coccinellifera Fruit Extract,코치닐선인장열매추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Fruit,,,,
Opuntia Ficus-Indica Callus Culture Extract,보검선인장캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",,,Callus from the leaf,,,
Origanum Majorana Leaf Extract,꽃박하잎추출물 (마조람잎추출물),84082-58-6,"BIO-FD&C Co.,Ltd.",Plant (France),Leaf,,,,
Oryza Sativa (Rice) Bran Extract,쌀겨추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bran,,,,
Oryza Sativa (Rice) Callus Culture Extract,벼캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,,,,
Oryza sativa (Rice) Callus Culture extract,쌀캘러스배양추출물,,"BIO-FD&C Co.,Ltd.",Callus (South Korea),-,,South Korea (Jinju),,
Oryza Sativa (Rice) Extract,쌀추출물,68553-81-1,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Grains,,,,
Oryza Sativa (Rice) Germ Extract,쌀배아추출물,,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Paeonia Albiflora Root Extract,작약뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
